1 :-{ 102 , 101 }
2 :-{ 208 , 105 }
3 :-{ 332 , 123 }
4 :-{ 435 , 102 }
5 :-{ 537 , 101 }
6 :-{ 637 , 99 }
7 :-{ 753 , 115 }
8 :-{ 865 , 111 }
9 :-{ 969 , 103 }
10 :-{ 1083 , 113 }
11 :-{ 1192 , 108 }
12 :-{ 1302 , 109 }
13 :-{ 1405 , 102 }
14 :-{ 1517 , 111 }
15 :-{ 1621 , 103 }
16 :-{ 1725 , 103 }
17 :-{ 1838 , 112 }
18 :-{ 1939 , 100 }
19 :-{ 2044 , 104 }
20 :-{ 2154 , 109 }
21 :-{ 2277 , 122 }
22 :-{ 2390 , 112 }
23 :-{ 2512 , 121 }
24 :-{ 2616 , 103 }
25 :-{ 2712 , 95 }
26 :-{ 2824 , 111 }
27 :-{ 2935 , 110 }
28 :-{ 3036 , 100 }
29 :-{ 3142 , 105 }
30 :-{ 3252 , 109 }
31 :-{ 3372 , 119 }
32 :-{ 3483 , 110 }
33 :-{ 3609 , 125 }
34 :-{ 3715 , 105 }
35 :-{ 3812 , 96 }
36 :-{ 3912 , 99 }
37 :-{ 4013 , 100 }
38 :-{ 4124 , 110 }
39 :-{ 4227 , 102 }
40 :-{ 4336 , 108 }
41 :-{ 4437 , 100 }
42 :-{ 4547 , 109 }
43 :-{ 4653 , 105 }
44 :-{ 4754 , 100 }
45 :-{ 4875 , 120 }
46 :-{ 4987 , 111 }
47 :-{ 5088 , 100 }
48 :-{ 5197 , 108 }
49 :-{ 5299 , 101 }
50 :-{ 5416 , 116 }
51 :-{ 5525 , 108 }
52 :-{ 5633 , 107 }
53 :-{ 5738 , 104 }
54 :-{ 5849 , 110 }
55 :-{ 5953 , 103 }
56 :-{ 6062 , 108 }
57 :-{ 6178 , 115 }
58 :-{ 6280 , 101 }
59 :-{ 6385 , 104 }
60 :-{ 6497 , 111 }
61 :-{ 6598 , 100 }
62 :-{ 6702 , 103 }
63 :-{ 6809 , 106 }
64 :-{ 6911 , 101 }
65 :-{ 7006 , 94 }
66 :-{ 7106 , 99 }
67 :-{ 7206 , 99 }
68 :-{ 7302 , 95 }
69 :-{ 7401 , 98 }
70 :-{ 7500 , 98 }
71 :-{ 7603 , 102 }
72 :-{ 7721 , 117 }
73 :-{ 7816 , 94 }
74 :-{ 7914 , 97 }
75 :-{ 8016 , 101 }
76 :-{ 8116 , 99 }
77 :-{ 8220 , 103 }
78 :-{ 8326 , 105 }
79 :-{ 8428 , 101 }
80 :-{ 8530 , 101 }
81 :-{ 8644 , 113 }
82 :-{ 8748 , 103 }
83 :-{ 8854 , 105 }
84 :-{ 8955 , 100 }
85 :-{ 9058 , 102 }
86 :-{ 9173 , 114 }
87 :-{ 9286 , 112 }
88 :-{ 9389 , 102 }
89 :-{ 9503 , 113 }
90 :-{ 9619 , 115 }
91 :-{ 9722 , 102 }
92 :-{ 9827 , 104 }
93 :-{ 9932 , 104 }
94 :-{ 10037 , 104 }
95 :-{ 10135 , 97 }
96 :-{ 10233 , 97 }
97 :-{ 10342 , 108 }
98 :-{ 10448 , 105 }
