1 :{ 0 , 91 }
2 :{ 92 , 75 }
3 :{ 168 , 87 }
4 :{ 256 , 92 }
5 :{ 349 , 87 }
6 :{ 437 , 84 }
7 :{ 522 , 89 }
8 :{ 612 , 78 }
9 :{ 691 , 81 }
10 :{ 773 , 86 }
11 :{ 860 , 81 }
12 :{ 942 , 80 }
13 :{ 1023 , 89 }
14 :{ 1113 , 79 }
15 :{ 1193 , 90 }
16 :{ 1284 , 85 }
17 :{ 1370 , 86 }
18 :{ 1457 , 80 }
19 :{ 1538 , 80 }
20 :{ 1619 , 83 }
21 :{ 1703 , 75 }
22 :{ 1779 , 80 }
23 :{ 1860 , 83 }
24 :{ 1944 , 86 }
25 :{ 2031 , 84 }
26 :{ 2116 , 80 }
27 :{ 2197 , 74 }
28 :{ 2272 , 74 }
29 :{ 2347 , 75 }
30 :{ 2423 , 80 }
31 :{ 2504 , 65 }
32 :{ 2570 , 76 }
33 :{ 2647 , 83 }
34 :{ 2731 , 80 }
35 :{ 2812 , 84 }
36 :{ 2897 , 68 }
37 :{ 2966 , 72 }
38 :{ 3039 , 73 }
39 :{ 3113 , 80 }
40 :{ 3194 , 78 }
41 :{ 3273 , 81 }
42 :{ 3355 , 79 }
43 :{ 3435 , 75 }
44 :{ 3511 , 69 }
45 :{ 3581 , 72 }
46 :{ 3654 , 52 }
47 :{ 3707 , 88 }
48 :{ 3796 , 81 }
49 :{ 3878 , 78 }
50 :{ 3957 , 91 }
51 :{ 4049 , 75 }
52 :{ 4125 , 87 }
53 :{ 4213 , 77 }
54 :{ 4291 , 82 }
55 :{ 4374 , 75 }
56 :{ 4450 , 86 }
57 :{ 4537 , 87 }
58 :{ 4625 , 90 }
59 :{ 4716 , 89 }
60 :{ 4806 , 88 }
61 :{ 4895 , 84 }
62 :{ 4980 , 92 }
63 :{ 5073 , 87 }
64 :{ 5161 , 84 }
65 :{ 5246 , 89 }
66 :{ 5336 , 84 }
67 :{ 5421 , 91 }
68 :{ 5513 , 75 }
69 :{ 5589 , 87 }
70 :{ 5677 , 77 }
71 :{ 5755 , 82 }
72 :{ 5838 , 75 }
73 :{ 5914 , 86 }
74 :{ 6001 , 87 }
75 :{ 6089 , 90 }
76 :{ 6180 , 89 }
77 :{ 6270 , 88 }
78 :{ 6359 , 84 }
79 :{ 6444 , 92 }
80 :{ 6537 , 87 }
81 :{ 6625 , 84 }
82 :{ 6710 , 89 }
83 :{ 6800 , 90 }
84 :{ 6891 , 89 }
85 :{ 6981 , 81 }
86 :{ 7063 , 78 }
87 :{ 7142 , 80 }
88 :{ 7223 , 88 }
89 :{ 7312 , 88 }
90 :{ 7401 , 81 }
91 :{ 7483 , 91 }
92 :{ 7575 , 90 }
93 :{ 7666 , 86 }
94 :{ 7753 , 80 }
95 :{ 7834 , 89 }
96 :{ 7924 , 89 }
97 :{ 8014 , 89 }
98 :{ 8104 , 87 }
99 :{ 8192 , 91 }
100 :{ 8284 , 84 }
101 :{ 8369 , 88 }
102 :{ 8458 , 93 }
103 :{ 8552 , 92 }
104 :{ 8645 , 79 }
105 :{ 8725 , 87 }
106 :{ 8813 , 79 }
107 :{ 8893 , 89 }
108 :{ 8983 , 75 }
109 :{ 9059 , 90 }
110 :{ 9150 , 82 }
111 :{ 9233 , 90 }
112 :{ 9324 , 90 }
113 :{ 9415 , 92 }
114 :{ 9508 , 71 }
115 :{ 9580 , 77 }
116 :{ 9658 , 77 }
117 :{ 9736 , 75 }
118 :{ 9812 , 87 }
119 :{ 9900 , 82 }
120 :{ 9983 , 82 }
121 :{ 10066 , 88 }
122 :{ 10155 , 87 }
123 :{ 10243 , 87 }
124 :{ 10331 , 81 }
125 :{ 10413 , 82 }
126 :{ 10496 , 71 }
127 :{ 10568 , 77 }
